"time","symbol","open","high","low","close","volume"
"2010-06-07 00:00:00+00","ZL.c.0","36.8","36.83","36.41","36.52",35897
"2010-06-08 00:00:00+00","ZL.c.0","36.53","36.92","36.47","36.7",34119
"2010-06-09 00:00:00+00","ZL.c.0","36.7","37.2","36.53","36.74",61212
"2010-06-10 00:00:00+00","ZL.c.0","36.78","37.12","36.63","36.83",38917
"2010-06-11 00:00:00+00","ZL.c.0","36.82","37.01","36.5","36.91",33117
"2010-06-13 00:00:00+00","ZL.c.0","37.07","38.34","37.02","37.07",697
"2010-06-14 00:00:00+00","ZL.c.0","37.08","37.59","37.07","37.32",38517
"2010-06-15 00:00:00+00","ZL.c.0","37.32","37.9","37.26","37.8",53921
"2010-06-16 00:00:00+00","ZL.c.0","37.81","38.22","37.78","38.06",30843
"2010-06-17 00:00:00+00","ZL.c.0","38.05","38.14","37.7","38.04",31617
"2010-06-18 00:00:00+00","ZL.c.0","38.04","38.3","37.86","37.95",34720
"2010-06-20 00:00:00+00","ZL.c.0","38.07","38.08","37.99","38.03",357
"2010-06-21 00:00:00+00","ZL.c.0","38.06","38.35","37.97","37.99",34441
"2010-06-22 00:00:00+00","ZL.c.0","37.99","38.15","37.78","37.82",25098
"2010-06-23 00:00:00+00","ZL.c.0","37.82","37.98","37.58","37.67",29975
"2010-06-24 00:00:00+00","ZL.c.0","37.69","37.77","37.07","37.24",28794
"2010-06-25 00:00:00+00","ZL.c.0","37.25","37.43","37.14","37.18",28362
"2010-06-27 00:00:00+00","ZL.c.0","37.2","37.2","37.08","37.15",175
"2010-06-28 00:00:00+00","ZL.c.0","37.18","37.43","36.79","36.88",25644
"2010-06-29 00:00:00+00","ZL.c.0","36.87","37","35.95","36.08",26162
"2010-06-30 00:00:00+00","ZL.c.0","36.08","36.64","35.86","36.21",12778
"2010-07-01 00:00:00+00","ZL.c.0","36.26","36.34","35.74","35.91",9019
"2010-07-02 00:00:00+00","ZL.c.0","35.96","36.32","35.83","35.92",4900
"2010-07-05 00:00:00+00","ZL.c.0","35.93","35.97","35.88","35.9",213
"2010-07-06 00:00:00+00","ZL.c.0","35.94","36.5","35.85","36",5696
"2010-07-07 00:00:00+00","ZL.c.0","36.02","36.9","35.97","36.81",3741
"2010-07-08 00:00:00+00","ZL.c.0","36.62","36.96","36.51","36.94",2896
