"time","symbol","open","high","low","close","volume"
"2010-06-07 00:00:00+00","ZM.c.0","276.3","280.9","274.8","278.3",16970
"2010-06-08 00:00:00+00","ZM.c.0","278.4","279.7","276","277",19232
"2010-06-09 00:00:00+00","ZM.c.0","277","287.6","276.9","286.5",35288
"2010-06-10 00:00:00+00","ZM.c.0","286.5","288.8","280.6","282.8",24666
"2010-06-11 00:00:00+00","ZM.c.0","282.8","289.5","281.7","289.2",15270
"2010-06-13 00:00:00+00","ZM.c.0","288.8","290.7","288.3","290",236
"2010-06-14 00:00:00+00","ZM.c.0","290","292.9","289.1","290.3",20537
"2010-06-15 00:00:00+00","ZM.c.0","290","292.4","285.5","286.7",15938
"2010-06-16 00:00:00+00","ZM.c.0","286.7","288.3","285.9","286.9",13984
"2010-06-17 00:00:00+00","ZM.c.0","287","288.9","285","286.5",16209
"2010-06-18 00:00:00+00","ZM.c.0","286.6","288.6","286","287.9",14270
"2010-06-20 00:00:00+00","ZM.c.0","289.4","290.9","289","289.2",403
"2010-06-21 00:00:00+00","ZM.c.0","289.2","292.8","286.2","289.7",29160
"2010-06-22 00:00:00+00","ZM.c.0","289.5","292.8","287.7","288.1",18215
"2010-06-23 00:00:00+00","ZM.c.0","288.4","291","287.9","290.1",15736
"2010-06-24 00:00:00+00","ZM.c.0","290","293","289","289.2",18246
"2010-06-25 00:00:00+00","ZM.c.0","289.6","290.7","288.5","289",14115
"2010-06-27 00:00:00+00","ZM.c.0","289.5","289.5","288","288",189
"2010-06-28 00:00:00+00","ZM.c.0","288.4","292.8","285.6","291.9",14345
"2010-06-29 00:00:00+00","ZM.c.0","291.8","294.8","288.7","290.5",11495
"2010-06-30 00:00:00+00","ZM.c.0","290.5","300.3","289","291.1",6730
"2010-07-01 00:00:00+00","ZM.c.0","291.7","293.5","289.4","292.1",3354
"2010-07-02 00:00:00+00","ZM.c.0","292","294.8","290.9","293.7",2201
"2010-07-05 00:00:00+00","ZM.c.0","294.8","294.8","291.9","293.4",258
"2010-07-06 00:00:00+00","ZM.c.0","293.3","299.4","293.3","296.7",1974
"2010-07-07 00:00:00+00","ZM.c.0","297.4","304.7","297.4","304",1723
"2010-07-08 00:00:00+00","ZM.c.0","304.2","316.7","302.7","311.6",1911
"2010-07-09 00:00:00+00","ZM.c.0","311.9","316.3","311.2","314.1",1411
"2010-07-11 00:00:00+00","ZM.c.0","312.5","312.5","311.6","311.6",13
"2010-07-12 00:00:00+00","ZM.c.0","312.3","319.8","311.5","315.8",1370
"2010-07-13 00:00:00+00","ZM.c.0","315.2","317.9","310.9","313.2",975
"2010-07-14 00:00:00+00","ZM.c.0","313","318.5","309.1","309.1",311
"2010-07-15 00:00:00+00","ZM.c.0","297.8","307.6","297.7","306.9",11225
"2010-07-16 00:00:00+00","ZM.c.0","307.4","309.5","304.8","308",5832
"2010-07-18 00:00:00+00","ZM.c.0","305.8","307.8","303.8","307.8",274
"2010-07-19 00:00:00+00","ZM.c.0","308","310.3","302","302.8",6367
"2010-07-20 00:00:00+00","ZM.c.0","302.8","305","300","302.1",9376
"2010-07-21 00:00:00+00","ZM.c.0","302.3","305.3","301","302.6",7420
"2010-07-22 00:00:00+00","ZM.c.0","302.5","305.6","298.5","300.2",11740
"2010-07-23 00:00:00+00","ZM.c.0","300.2","301.8","298.9","300.1",10719
"2010-07-25 00:00:00+00","ZM.c.0","299.6","299.6","298","298.5",225
"2010-07-26 00:00:00+00","ZM.c.0","298.3","299.7","291.8","293.3",9863
"2010-07-27 00:00:00+00","ZM.c.0","293.1","296.5","292.4","295.5",9045
"2010-07-28 00:00:00+00","ZM.c.0","295.5","302.7","295.5","302.3",8163
"2010-07-29 00:00:00+00","ZM.c.0","303.2","306.5","302.4","306.4",9187
"2010-07-30 00:00:00+00","ZM.c.0","306.5","312.6","306.3","312.2",4933
"2010-08-01 00:00:00+00","ZM.c.0","310.7","312.9","310.7","312.9",20
"2010-08-02 00:00:00+00","ZM.c.0","312.8","317.6","310.9","310.9",2319
"2010-08-03 00:00:00+00","ZM.c.0","311.4","312.7","305.9","307.7",1681
"2010-08-04 00:00:00+00","ZM.c.0","309.9","312.9","308","311.7",1099
"2010-08-05 00:00:00+00","ZM.c.0","311.5","319","309","315",832
"2010-08-06 00:00:00+00","ZM.c.0","313.5","314","311","313.9",816
"2010-08-08 00:00:00+00","ZM.c.0","313.1","313.1","313.1","313.1",1
"2010-08-09 00:00:00+00","ZM.c.0","313.6","314.7","310.8","311",1035
"2010-08-10 00:00:00+00","ZM.c.0","311","311.8","308","309.4",1015
"2010-08-11 00:00:00+00","ZM.c.0","310","312.3","308.5","310.9",888
"2010-08-12 00:00:00+00","ZM.c.0","312.2","318.9","309.1","314.2",407
"2010-08-13 00:00:00+00","ZM.c.0","315.4","329","313","329",214
"2010-08-15 00:00:00+00","ZM.c.0","301.7","302","301.3","301.4",112
"2010-08-16 00:00:00+00","ZM.c.0","301.8","306.8","300.5","302.7",7292
"2010-08-17 00:00:00+00","ZM.c.0","302.4","307.5","301.7","306.9",6715
"2010-08-18 00:00:00+00","ZM.c.0","307.5","311","303.5","307.4",6041
"2010-08-19 00:00:00+00","ZM.c.0","307.4","309.7","301.3","301.8",9644
"2010-08-20 00:00:00+00","ZM.c.0","302.1","302.5","300.1","301.2",7472
"2010-08-22 00:00:00+00","ZM.c.0","301.2","301.9","300.3","301.6",77
"2010-08-23 00:00:00+00","ZM.c.0","301.8","302.5","299.2","300.5",6041
"2010-08-24 00:00:00+00","ZM.c.0","300.3","301.6","296","297.4",7489
"2010-08-25 00:00:00+00","ZM.c.0","297.4","300.5","295.6","300.3",6823
"2010-08-26 00:00:00+00","ZM.c.0","300.2","306.3","299.8","305.8",10422
"2010-08-27 00:00:00+00","ZM.c.0","305.9","308.9","304.6","307.8",8873
"2010-08-29 00:00:00+00","ZM.c.0","307.8","309.7","307.8","309",32
"2010-08-30 00:00:00+00","ZM.c.0","308.1","311.2","304.4","305",8306
"2010-08-31 00:00:00+00","ZM.c.0","306","311.3","303.2","303.2",6031
"2010-09-01 00:00:00+00","ZM.c.0","305.3","306","301.9","302",2386
"2010-09-02 00:00:00+00","ZM.c.0","303.2","303.7","299.6","302.8",1724
"2010-09-03 00:00:00+00","ZM.c.0","302.2","308.4","301.9","308.4",1560
"2010-09-06 00:00:00+00","ZM.c.0","308.7","308.7","308.4","308.4",3
"2010-09-07 00:00:00+00","ZM.c.0","308.2","308.3","303","307",1243
"2010-09-08 00:00:00+00","ZM.c.0","308.9","310.5","305.6","308.1",813
"2010-09-09 00:00:00+00","ZM.c.0","307.2","308.9","304.5","304.5",652
"2010-09-10 00:00:00+00","ZM.c.0","304.5","304.5","294.5","294.5",1061
"2010-09-12 00:00:00+00","ZM.c.0","296.7","296.7","293","293",4
"2010-09-14 00:00:00+00","ZM.c.0","296.3","298.8","290.9","290.9",169
"2010-09-15 00:00:00+00","ZM.c.0","293","295.7","292.6","294.5",5785
"2010-09-16 00:00:00+00","ZM.c.0","294.7","295.5","291.2","293.3",5305
"2010-09-17 00:00:00+00","ZM.c.0","293.3","304.4","292.9","303.8",6827
"2010-09-19 00:00:00+00","ZM.c.0","303.6","307.5","303.2","307.5",245
"2010-09-20 00:00:00+00","ZM.c.0","307.5","313.1","305.2","305.2",5195
"2010-09-21 00:00:00+00","ZM.c.0","305.2","308.8","302.9","304.5",6106
"2010-09-22 00:00:00+00","ZM.c.0","304.5","307.9","302.9","305.8",6386
"2010-09-23 00:00:00+00","ZM.c.0","305.2","306.9","301.4","304.9",5348
"2010-09-24 00:00:00+00","ZM.c.0","304.3","313.2","304.1","312.4",6596
"2010-09-26 00:00:00+00","ZM.c.0","313.3","318","313.3","317.5",180
"2010-09-27 00:00:00+00","ZM.c.0","317.5","318","310.1","310.7",8159
"2010-09-28 00:00:00+00","ZM.c.0","310.1","312","302.8","303.6",11211
"2010-09-29 00:00:00+00","ZM.c.0","303.6","304","297.5","301.9",9914
"2010-09-30 00:00:00+00","ZM.c.0","302","305.5","296","300.9",6386
"2010-10-01 00:00:00+00","ZM.c.0","300.8","301.5","287","287",5246
"2010-10-03 00:00:00+00","ZM.c.0","286.8","286.8","285","286.3",195
"2010-10-04 00:00:00+00","ZM.c.0","285","289.5","282.7","287.5",4157
"2010-10-05 00:00:00+00","ZM.c.0","287.1","296.3","287","295",2322
"2010-10-06 00:00:00+00","ZM.c.0","294.5","294.5","291","291.4",2780
"2010-10-07 00:00:00+00","ZM.c.0","292.7","294.7","291.5","292.1",2169
"2010-10-08 00:00:00+00","ZM.c.0","292.4","327","292.4","312.1",2869
"2010-10-10 00:00:00+00","ZM.c.0","324.9","324.9","322.8","323.6",7
"2010-10-11 00:00:00+00","ZM.c.0","326.8","330.1","321.5","322",655
"2010-10-12 00:00:00+00","ZM.c.0","323.1","329.4","323.1","327.3",652
"2010-10-13 00:00:00+00","ZM.c.0","327.2","333.1","324.7","324.7",391
"2010-10-14 00:00:00+00","ZM.c.0","327.9","331.9","325.6","325.6",162
"2010-10-15 00:00:00+00","ZM.c.0","333.5","336.2","329","329.5",20908
"2010-10-17 00:00:00+00","ZM.c.0","328.1","330","326.3","329.2",996
"2010-10-18 00:00:00+00","ZM.c.0","329.6","330.5","325.4","328.1",22367
"2010-10-19 00:00:00+00","ZM.c.0","328.3","333.7","323","328.2",31204
"2010-10-20 00:00:00+00","ZM.c.0","328.3","339.1","327.3","339",24434
"2010-10-21 00:00:00+00","ZM.c.0","339.1","340.2","332.9","334.2",21721
"2010-10-22 00:00:00+00","ZM.c.0","334.2","335.6","330.5","330.6",15575
"2010-10-24 00:00:00+00","ZM.c.0","331.6","332.3","330.4","332.3",426
"2010-10-25 00:00:00+00","ZM.c.0","332","335.4","332","334.5",20376
"2010-10-26 00:00:00+00","ZM.c.0","334.6","336.9","331.6","336.5",18293
"2010-10-27 00:00:00+00","ZM.c.0","336.4","336.7","330.1","336",20090
"2010-10-28 00:00:00+00","ZM.c.0","336","340.4","334.3","336.4",21677
"2010-10-29 00:00:00+00","ZM.c.0","336.4","338.5","334.6","337.6",14095
"2010-10-31 00:00:00+00","ZM.c.0","338.8","340","337.6","340",449
"2010-11-01 00:00:00+00","ZM.c.0","340","340","334.1","338.3",17785
"2010-11-02 00:00:00+00","ZM.c.0","338.3","339.6","335.7","337",16070
"2010-11-03 00:00:00+00","ZM.c.0","337.1","340","333.3","338.3",19936
"2010-11-04 00:00:00+00","ZM.c.0","338.3","349.3","337.8","349",28199
"2010-11-05 00:00:00+00","ZM.c.0","349","350","345.3","346.1",22802
"2010-11-08 00:00:00+00","ZM.c.0","347.5","348.2","343.2","344.2",20229
"2010-11-09 00:00:00+00","ZM.c.0","344.7","364.9","343.2","361.5",36006
"2010-11-10 00:00:00+00","ZM.c.0","361.3","362","354.4","354.7",27748
"2010-11-11 00:00:00+00","ZM.c.0","355.4","360.4","354.7","358.2",25994
"2010-11-12 00:00:00+00","ZM.c.0","359.2","360.7","338.3","338.5",51324
"2010-11-15 00:00:00+00","ZM.c.0","339.6","352.3","335.7","347.7",28345
"2010-11-16 00:00:00+00","ZM.c.0","347.1","348.4","328.1","330.5",43116
"2010-11-18 00:00:00+00","ZM.c.0","328.5","337.9","325.2","335.5",24736
"2010-11-19 00:00:00+00","ZM.c.0","335.8","338.9","324.6","325.9",25911
"2010-11-22 00:00:00+00","ZM.c.0","325","334","322.8","333.6",26673
"2010-11-23 00:00:00+00","ZM.c.0","334.5","340.9","328.4","340.3",26329
"2010-11-24 00:00:00+00","ZM.c.0","340.2","343.3","338.8","340.5",17976
"2010-11-26 00:00:00+00","ZM.c.0","340.5","342.9","335.5","336",11549
"2010-11-29 00:00:00+00","ZM.c.0","336.9","338.7","333.1","334.9",19252
"2010-11-30 00:00:00+00","ZM.c.0","336.3","337.8","332.8","337.2",9823
"2010-12-01 00:00:00+00","ZM.c.0","337.3","346.6","335.1","346.1",7573
"2010-12-02 00:00:00+00","ZM.c.0","346","347","343.7","344.5",4632
"2010-12-03 00:00:00+00","ZM.c.0","343.5","351.6","343.1","350.5",1735
"2010-12-06 00:00:00+00","ZM.c.0","351.1","352.4","342.5","344.7",1692
"2010-12-07 00:00:00+00","ZM.c.0","344.7","348.4","342","342.6",1035
"2010-12-08 00:00:00+00","ZM.c.0","343.9","346.7","338","345.2",957
"2010-12-09 00:00:00+00","ZM.c.0","345.4","345.6","338.7","339.6",1071
"2010-12-10 00:00:00+00","ZM.c.0","340.6","341.4","335.5","337.2",1070
"2010-12-13 00:00:00+00","ZM.c.0","335.5","345.8","335.1","345.7",550
"2010-12-14 00:00:00+00","ZM.c.0","345","348.5","344.7","345.1",311
"2010-12-15 00:00:00+00","ZM.c.0","340.7","349.8","340.7","346",28872
"2010-12-16 00:00:00+00","ZM.c.0","345","347.7","342.3","343.6",19562
"2010-12-17 00:00:00+00","ZM.c.0","343","348","342.6","347.2",17499
"2010-12-20 00:00:00+00","ZM.c.0","347.9","352.8","346.1","350.5",20363
"2010-12-21 00:00:00+00","ZM.c.0","351","353.5","349.8","351.8",17553
"2010-12-22 00:00:00+00","ZM.c.0","352.8","353.1","350","352",11726
"2010-12-23 00:00:00+00","ZM.c.0","350.9","360.5","350.7","358.7",9960
"2010-12-27 00:00:00+00","ZM.c.0","357.9","368.9","356","366",10417
"2010-12-28 00:00:00+00","ZM.c.0","366","370.2","365.6","367.5",13522
"2010-12-29 00:00:00+00","ZM.c.0","368.5","368.7","364.2","365.5",9991
"2010-12-30 00:00:00+00","ZM.c.0","365.5","368","363.1","366.3",7488
"2010-12-31 00:00:00+00","ZM.c.0","365.5","371.8","365","370.8",3264
"2011-01-03 00:00:00+00","ZM.c.0","369.8","371.6","362.2","364.5",5023
"2011-01-04 00:00:00+00","ZM.c.0","364.7","365.8","360","363.7",2603
"2011-01-05 00:00:00+00","ZM.c.0","364.7","370.2","361.7","368.7",3060
"2011-01-06 00:00:00+00","ZM.c.0","368.8","369.1","363.9","364",2054
"2011-01-07 00:00:00+00","ZM.c.0","364.1","364.4","358","358.6",1401
"2011-01-10 00:00:00+00","ZM.c.0","361","371","361","367",667
"2011-01-11 00:00:00+00","ZM.c.0","367.5","368.2","357.6","359",1057
"2011-01-12 00:00:00+00","ZM.c.0","360.5","380.3","360.1","378.3",796
