"time","symbol","open","high","low","close","volume"
"2010-06-07 00:00:00+00","ZS.c.0","932.5","939","928.25","932.75",54950
"2010-06-08 00:00:00+00","ZS.c.0","932.75","937.5","926","927.75",59463
"2010-06-09 00:00:00+00","ZS.c.0","928.25","951.75","926.25","945",87263
"2010-06-10 00:00:00+00","ZS.c.0","945.75","952","930.5","934.5",76961
"2010-06-11 00:00:00+00","ZS.c.0","934.75","947","929.75","945",46197
"2010-06-13 00:00:00+00","ZS.c.0","945","949.5","944.75","948",1804
"2010-06-14 00:00:00+00","ZS.c.0","948.5","958.75","946.25","951",56741
"2010-06-15 00:00:00+00","ZS.c.0","950.5","961.75","947.25","952.25",47566
"2010-06-16 00:00:00+00","ZS.c.0","952.25","961.75","951.75","957.75",38551
"2010-06-17 00:00:00+00","ZS.c.0","958","964","950.5","955",44846
"2010-06-18 00:00:00+00","ZS.c.0","955","961.25","952.5","960.25",41543
"2010-06-20 00:00:00+00","ZS.c.0","965.25","968","962.5","963",1752
"2010-06-21 00:00:00+00","ZS.c.0","963.5","971.5","958.75","963",38832
"2010-06-22 00:00:00+00","ZS.c.0","962.75","970","959","960",27506
"2010-06-23 00:00:00+00","ZS.c.0","959.5","966.25","957","961.5",31556
"2010-06-24 00:00:00+00","ZS.c.0","961.5","965.25","955","956.75",30753
"2010-06-25 00:00:00+00","ZS.c.0","957","960.75","956.25","958.75",24916
"2010-06-27 00:00:00+00","ZS.c.0","958.25","958.25","955","955.25",270
"2010-06-28 00:00:00+00","ZS.c.0","955.25","961.25","953","957.25",36854
"2010-06-29 00:00:00+00","ZS.c.0","957.75","958","946","949.75",28258
"2010-06-30 00:00:00+00","ZS.c.0","949.75","973","945","952.5",10701
"2010-07-01 00:00:00+00","ZS.c.0","951.25","954.5","943.25","950.75",5191
"2010-07-02 00:00:00+00","ZS.c.0","951.25","968.25","951.25","965",4329
"2010-07-05 00:00:00+00","ZS.c.0","962.5","962.5","958.5","962.25",68
"2010-07-06 00:00:00+00","ZS.c.0","961.75","977","960.5","967.5",1995
"2010-07-07 00:00:00+00","ZS.c.0","966.5","994.5","966","992.5",2589
"2010-07-08 00:00:00+00","ZS.c.0","989.5","1022.25","985.5","1012.25",2037
"2010-07-09 00:00:00+00","ZS.c.0","1013","1030.5","1010.75","1026.25",1167
"2010-07-11 00:00:00+00","ZS.c.0","1024.75","1024.75","1017.5","1020.75",11
"2010-07-12 00:00:00+00","ZS.c.0","1028","1043","1022","1034.75",1044
"2010-07-13 00:00:00+00","ZS.c.0","1035","1044","1026","1028",830
"2010-07-14 00:00:00+00","ZS.c.0","1030.5","1038.5","1025.75","1037",164
"2010-07-15 00:00:00+00","ZS.c.0","994.75","1021.75","989","1019.25",29676
"2010-07-16 00:00:00+00","ZS.c.0","1019","1027","1013","1021",17800
"2010-07-18 00:00:00+00","ZS.c.0","1007.25","1017.75","1001.25","1017.75",1065
"2010-07-19 00:00:00+00","ZS.c.0","1017.75","1022.25","1003.25","1005",20131
"2010-07-20 00:00:00+00","ZS.c.0","1006","1014.25","998.5","1014",15407
"2010-07-21 00:00:00+00","ZS.c.0","1013","1020","1007.25","1013.5",16660
"2010-07-22 00:00:00+00","ZS.c.0","1013.75","1026","1008.75","1016.5",18575
"2010-07-23 00:00:00+00","ZS.c.0","1016.25","1022","1012","1018",13605
"2010-07-25 00:00:00+00","ZS.c.0","1014","1014","1010","1010.75",276
"2010-07-26 00:00:00+00","ZS.c.0","1010.75","1015.5","994.25","997.75",16385
"2010-07-27 00:00:00+00","ZS.c.0","998.25","1005","994.5","999.25",16240
